target_posts,model,k,hybrid_alpha,precision_at_k,recall_at_k,ndcg_at_k,hit_rate_at_k,evaluated_users
10000,global_baseline,5,0.3,0.011138014527845,0.0276432606941081,0.0165484555012383,0.0556900726392251,413
10000,category_baseline,5,0.3,0.0174334140435835,0.0441888619854721,0.0281509087075554,0.0847457627118644,413
10000,user_based_cf,5,0.3,0.0083832335329341,0.0217065868263473,0.0130386004500447,0.0419161676646706,334
10000,content_based,5,0.3,0.0184019370460048,0.0484261501210653,0.0324844709771387,0.0920096852300242,413
10000,hybrid,5,0.3,0.0184019370460048,0.0484261501210653,0.0324844709771387,0.0920096852300242,413
100000,global_baseline,5,0.3,0.0309859154929577,0.0763329979879275,0.054061051752717,0.1496478873239436,3976
100000,category_baseline,5,0.3,0.0117706237424547,0.0298038229376257,0.0178559136314486,0.0575955734406438,3976
100000,user_based_cf,5,0.3,0.0068117313150425,0.0209187427730474,0.011737657190331,0.0337432986439608,3171
100000,content_based,5,0.3,0.0106136820925553,0.0275402414486921,0.0172647159397204,0.0525653923541247,3976
100000,hybrid,5,0.3,0.0106136820925553,0.0275402414486921,0.0172647159397204,0.0525653923541247,3976
20000,global_baseline,5,0.3,0.0108303249097472,0.0263738467709586,0.0147073218483905,0.0541516245487364,831
20000,category_baseline,5,0.3,0.005294825511432,0.0149418371440032,0.0080946897900233,0.02647412755716,831
20000,user_based_cf,5,0.3,0.0072617246596066,0.0216843166918809,0.0116628837468862,0.0347957639939485,661
20000,content_based,5,0.3,0.0134777376654632,0.0281789009225832,0.0199651688521941,0.0673886883273164,831
20000,hybrid,5,0.3,0.0134777376654632,0.0281789009225832,0.0199651688521941,0.0673886883273164,831
50000,global_baseline,5,0.3,0.0297528996469994,0.0711464111615397,0.0541790716695451,0.1396873424104891,1983
50000,category_baseline,5,0.3,0.0127080181543116,0.0337031433854429,0.0209870348457037,0.0610186585980837,1983
50000,user_based_cf,5,0.3,0.0062619808306709,0.0197018104366347,0.0102302779355997,0.0313099041533546,1565
50000,content_based,5,0.3,0.0123045890065557,0.0289544461253992,0.0207715038381126,0.0605143721633888,1983
50000,hybrid,5,0.3,0.0123045890065557,0.0289544461253992,0.0207715038381126,0.0605143721633888,1983
