model,k,hybrid_alpha,precision_at_k,recall_at_k,ndcg_at_k,hit_rate_at_k,evaluated_users
global_baseline,5,0.3,0.02197802197802198,0.05677655677655677,0.04191935892872647,0.10989010989010989,91
category_baseline,5,0.3,0.035555555555555556,0.10277777777777777,0.06586315210181906,0.17777777777777778,90
user_based_cf,5,0.3,0.0,0.0,0.0,0.0,69
content_based,5,0.3,0.015384615384615384,0.031135531135531132,0.025069732240161225,0.07692307692307693,91
hybrid,5,0.3,0.015384615384615384,0.031135531135531132,0.025069732240161225,0.07692307692307693,91
