model,k,hybrid_alpha,precision_at_k,recall_at_k,ndcg_at_k,hit_rate_at_k,evaluated_users
global_baseline,5,0.3,0.029752899646999495,0.07114641116153975,0.05417907166954511,0.13968734241048916,1983
category_baseline,5,0.3,0.01270801815431165,0.03370314338544293,0.02098703484570373,0.06101865859808371,1983
user_based_cf,5,0.3,0.006261980830670927,0.019701810436634715,0.010230277935599746,0.031309904153354634,1565
content_based,5,0.3,0.012304589006555722,0.028954446125399224,0.02077150383811262,0.060514372163388806,1983
hybrid,5,0.3,0.012304589006555722,0.028954446125399224,0.02077150383811262,0.060514372163388806,1983
