model,k,hybrid_alpha,precision_at_k,recall_at_k,ndcg_at_k,hit_rate_at_k,evaluated_users
global_baseline,5,0.3,0.03098591549295775,0.07633299798792756,0.05406105175271707,0.14964788732394366,3976
category_baseline,5,0.3,0.011770623742454729,0.029803822937625755,0.017855913631448676,0.057595573440643866,3976
user_based_cf,5,0.3,0.006811731315042574,0.020918742773047408,0.011737657190331029,0.033743298643960896,3171
content_based,5,0.3,0.010613682092555332,0.027540241448692153,0.017264715939720402,0.052565392354124746,3976
hybrid,5,0.3,0.010613682092555332,0.027540241448692153,0.017264715939720402,0.052565392354124746,3976
